"ID","TOKEN","IS_STOP"
"330","λέγει","FALSE"
"331","ὁ","TRUE"
"332","Ἀδὰμ","FALSE"
"333","τῇ","TRUE"
"334","Εὔᾳ","FALSE"
"335","·","FALSE"
"336","ἰδοὺ","FALSE"
"337","ἐγεννήσαμεν","FALSE"
"338","υἱὸν","FALSE"
"339","ἀντὶ","FALSE"
"340","Ἄβελ","FALSE"
"341",",","FALSE"
"342","ὃν","TRUE"
"343","ἀπέκτεινεν","FALSE"
"344","Κάϊν","FALSE"
"345","·","FALSE"
"346","δώσωμεν","FALSE"
"347","δόξαν","FALSE"
"348","καὶ","TRUE"
"349","θυσίαν","FALSE"
"350","τῷ","TRUE"
"351","θεῷ","FALSE"
"352",".","FALSE"
"353","Ἐποίησεν","FALSE"
"354","δὲ","TRUE"
"355","Ἀδὰμ","FALSE"
"356","υἱοὺς","FALSE"
"357","τριάκοντα","FALSE"
"358","καὶ","TRUE"
"359","θυγατέρας","FALSE"
"360","τριάκοντα","FALSE"
"361",".","FALSE"
"362","καὶ","TRUE"
"363","περιπεσὼν","FALSE"
"364","εἰς","TRUE"
"365","νόσον","FALSE"
"366",",","FALSE"
"367","καὶ","TRUE"
"368","βοήσας","FALSE"
"369","φωνῇ","FALSE"
"370","μεγάλῃ","FALSE"
"371","εἶπεν","FALSE"
"372","·","FALSE"
"373","ἐλθέτωσαν","FALSE"
"374","πρός","TRUE"
"375","με","TRUE"
"376","οἱ","TRUE"
"377","υἱοί","FALSE"
"378","μου","TRUE"
"379","πάντες","FALSE"
"380",",","FALSE"
"381","ὅπως","FALSE"
"382","ὄψομαι","FALSE"
"383","αὐτοὺς","TRUE"
"384","πρὶν","FALSE"
"385","ἢ","TRUE"
"386","ἀποθανεῖν","FALSE"
"387","με","TRUE"
"388",".","FALSE"
"389","καὶ","TRUE"
"390","συνήχθησαν","FALSE"
"391","πάντες","FALSE"
"392","·","FALSE"
"393","ἦν","TRUE"
"394","γὰρ","TRUE"
