"ID","TOKEN","IS_PUNCT"
"291","καὶ","FALSE"
"292","Ἰησοῦς","FALSE"
"293","ὁ","FALSE"
"294","τοῦ","FALSE"
"295","Ἰωσεδὲκ","FALSE"
"296","ὁ","FALSE"
"297","ἱερεὺς","FALSE"
"298","ὁ","FALSE"
"299","μέγας","FALSE"
"300","καὶ","FALSE"
"301","πάντες","FALSE"
"302","οἱ","FALSE"
"303","κατάλοιποι","FALSE"
"304","τοῦ","FALSE"
"305","λαοῦ","FALSE"
"306","τῆς","FALSE"
"307","φωνῆς","FALSE"
"308","Κυρίου","FALSE"
"309","τοῦ","FALSE"
"310","θεοῦ","FALSE"
"311","αὐτῶν","FALSE"
"312","καὶ","FALSE"
"313","τῶν","FALSE"
"314","λόγων","FALSE"
"315","Ἀγγαίου","FALSE"
"316","τοῦ","FALSE"
"317","προφήτου","FALSE"
"318",",","TRUE"
"319","καθότι","FALSE"
"320","ἐξαπέστειλεν","FALSE"
"321","αὐτὸν","FALSE"
"322","Κύριος","FALSE"
"323","ὁ","FALSE"
"324","θεὸς","FALSE"
"325","αὐτῶν","FALSE"
"326","πρὸς","FALSE"
"327","αὐτούς","FALSE"
"328",",","TRUE"
"329","καὶ","FALSE"
"330","ἐφοβήθη","FALSE"
"331","ὁ","FALSE"
"332","λαὸς","FALSE"
"333","ἀπὸ","FALSE"
"334","προσώπου","FALSE"
"335","Κυρίου","FALSE"
"336",".","TRUE"
"337","καὶ","FALSE"
"338","εἶπεν","FALSE"
"339","Ἀγγαῖος","FALSE"
"340","ἄγγελος","FALSE"
"341","Κυρίου","FALSE"
"342","ἐν","FALSE"
"343","ἀγγέλοις","FALSE"
"344","Κυρίου","FALSE"
"345","τῷ","FALSE"
"346","λαῷ","FALSE"
"347","Ἐγὼ","FALSE"
"348","εἰμι","FALSE"
"349","μεθʼ","FALSE"
"350","ὑμῶν","FALSE"
"351",",","TRUE"
"352","λέγει","FALSE"
"353","Κύριος","FALSE"
"354",".","TRUE"
"355","καὶ","FALSE"
"356","ἐξήγειρεν","FALSE"
"357","Κύριος","FALSE"
"358","τὸ","FALSE"
"359","πνεῦμα","FALSE"
"360","Ζοροβαβὲλ","FALSE"
"361","τοῦ","FALSE"
"362","Σαλαθιὴλ","FALSE"
"363","ἐκ","FALSE"
"364","φυλῆς","FALSE"
"365","Ἰούδα","FALSE"
"366","καὶ","FALSE"
"367","τὸ","FALSE"
"368","πνεῦμα","FALSE"
"369","Ἰησοῦ","FALSE"
"370","τοῦ","FALSE"
"371","Ἰσεδὲκ","FALSE"
"372","τοῦ","FALSE"
"373","ἱερέως","FALSE"
"374","τοῦ","FALSE"
"375","μεγάλου","FALSE"
"376","καὶ","FALSE"
"377","τὸ","FALSE"
"378","πνεῦμα","FALSE"
"379","τῶν","FALSE"
"380","καταλοίπωυ","FALSE"
"381","παντὸς","FALSE"
"382","τοῦ","FALSE"
"383","λαοῦ","FALSE"
"384",",","TRUE"
"385","καὶ","FALSE"
"386","εἰσῆλθον","FALSE"
"387","καὶ","FALSE"
"388","ἐποίουν","FALSE"
"389","ἔργα","FALSE"
"390","ἐν","FALSE"
"391","τῷ","FALSE"
"392","οἴκῳ","FALSE"
"393","Κυρίου","FALSE"
"394","Παντοκράτορος","FALSE"
"395","θεοῦ","FALSE"
"396","αὐτῶν","FALSE"
"397",".","TRUE"
