"ID","TOKEN","IS_STOP"
"349","γενέσθαι","FALSE"
"350",".","FALSE"
"351","μονάσας","FALSE"
"352","δὲ","TRUE"
"353","καὶ","TRUE"
"354","τὴν","TRUE"
"355","λεκάνην","FALSE"
"356","θεὶς","FALSE"
"357","εἰς","TRUE"
"358","μέσον","FALSE"
"359","ἔπλησεν","FALSE"
"360","ὕδατος","FALSE"
"361","·","FALSE"
"362","βαλὼν","FALSE"
"363","δὲ","TRUE"
"364","ἐπάνω","FALSE"
"365","τὰ","TRUE"
"366","κήρινα","FALSE"
"367","πλοιαρίδια","FALSE"
"368",",","FALSE"
"369","ἀράμενος","FALSE"
"370","κατὰ","TRUE"
"371","χεῖρα","FALSE"
"372","τὴν","TRUE"
"373","ῥάβδον","FALSE"
"374","τῷ","TRUE"
"375","δυναμικῷ","FALSE"
"376","λόγῳ","FALSE"
"377","ἐχρήσατο","FALSE"
"378",".","FALSE"
"379","ἀτενίσας","FALSE"
"380","δὲ","TRUE"
"381","εἰς","TRUE"
"382","τὴν","TRUE"
"383","λεκάνην","FALSE"
"384","εἶδε","FALSE"
"385","τοὺς","TRUE"
"386","τῶν","TRUE"
"387","Αἰγυπτίων","FALSE"
"388","θεοὺς","FALSE"
"389","τὰ","TRUE"
"390","τῶν","TRUE"
"391","πολεμίων","FALSE"
"392","βαρβάρων","FALSE"
"393","πλοιάρια","FALSE"
"394","διακυβερνῶντας","FALSE"
"395",".","FALSE"
"396","διὸ","FALSE"
"397","καὶ","TRUE"
"398","στοχάσας","FALSE"
"399","τὸν","TRUE"
"400","τῶν","TRUE"
"401","Αἰγυπτίων","FALSE"
"402","βασιλέα","FALSE"
"403","ὑπὸ","TRUE"
"404","τῶν","TRUE"
"405","μακάρων","FALSE"
"406","ἤδη","FALSE"
"407","προδοσίαν","FALSE"
"408","ἐσχηκέναι","FALSE"
"409","ξυρησάμενος","FALSE"
"410","τὴν","TRUE"
"411","κεφαλὴν","FALSE"
"412","καὶ","TRUE"
"413","τὸν","TRUE"
"414","πώγωνα","FALSE"
"415","πρὸς","TRUE"
"416","τὸ","TRUE"
"417","ἀλλομορφῆσαι","FALSE"
"418",",","FALSE"
"419","ἐγκολπωσάμενος","FALSE"
"420","χρυσὸν","FALSE"
"421","ὅσον","FALSE"
"422","ἠδύνατο","FALSE"
"423","βαστάξαι","FALSE"
"424",",","FALSE"
"425","ἔφυγε","FALSE"
"426","τὴν","TRUE"
"427","Αἴγυπτον","FALSE"
"428","διὰ","TRUE"
"429","τοῦ","TRUE"
"430","Πηλουσίου","FALSE"
"431",".","FALSE"
"432","πολλὰ","FALSE"
"433","δὲ","TRUE"
"434","περινοστήσας","FALSE"
"435","ἔθνη","FALSE"
"436","εἰς","TRUE"
"437","Πέλλην","FALSE"
"438","τῆς","TRUE"
"439","Μακεδονίας","FALSE"
"440","παρεγένετο","FALSE"
"441",",","FALSE"
"442","καὶ","TRUE"
"443","ὀθόνην","FALSE"
"444","ἀμφιασάμενος","FALSE"
"445","οἷα","FALSE"
"446","προφήτης","FALSE"
"447","Αἰγύπτιος","FALSE"
"448","καὶ","TRUE"
"449","ἀστρολόγος","FALSE"
"450","καὶ","TRUE"
"451","ἐκαθέζετο","FALSE"
"452","δημοσίᾳ","FALSE"
"453","τῷ","TRUE"
"454","προσερχομένῳ","FALSE"
"455","σκέπτεσθαι","FALSE"
"456",".","FALSE"
"457","καὶ","TRUE"
"458","ταῦτα","TRUE"
"459","μὲν","TRUE"
"460","οὕτως","TRUE"
"461",".","FALSE"
"462","Ἐν","TRUE"
"463","δὲ","TRUE"
"464","τῇ","TRUE"
"465","Αἰγύπτῳ","FALSE"
"466","ἀφανοῦς","FALSE"
"467","γενομένου","FALSE"
"468","τοῦ","TRUE"
"469","Νεκτανεβῶ","FALSE"
"470","ἠξίωσαν","FALSE"
"471","οἱ","TRUE"
"472","Αἰγύπτιοι","FALSE"
"473","τὸν","TRUE"
"474","προπάτορα","FALSE"
"475","τῶν","TRUE"
"476","θεῶν","FALSE"
"477","Ἥφαιστον","FALSE"
"478",",","FALSE"
"479","τί","TRUE"
"480","ἄρα","TRUE"
"481","ὁ","TRUE"
"482","τῆς","TRUE"
"483","Αἰγύπτου","FALSE"
"484","βασιλεὺς","FALSE"
"485","ἐγένετο","FALSE"
"486",".","FALSE"
"487","ὁ","TRUE"
"488","δὲ","TRUE"
"489","ἔπεμψεν","FALSE"
"490","αὐτοῖς","TRUE"
"491","χρησμόν","FALSE"
"492",",","FALSE"
"493","πρὸς","TRUE"
"494","τὸν","TRUE"
"495","ἀόρατον","FALSE"
"496","τοῦ","TRUE"
"497","Σινωπίου","FALSE"
"498","παραστῆναι","FALSE"
"499",",","FALSE"
"500","ὃς","TRUE"
"501","χρησμοδοτεῖ","FALSE"
"502","αὐτοῖς","TRUE"
"503","οὕτως","TRUE"
"504","·","FALSE"
"505","Αἴγυπτον","FALSE"
"506","ὁ","TRUE"
"507","φυγὼν","FALSE"
"508","κραταιὸς","FALSE"
"509","ἄλκιμος","FALSE"
"510","πρέσβυς","FALSE"
"511","βασιλεὺς","FALSE"
"512","δυνάστης","FALSE"
"513","ἥξει","FALSE"
"514","μετὰ","TRUE"
"515","χρόνον","FALSE"
"516","νέος","FALSE"
"517",",","FALSE"
"518","τὸ","TRUE"
"519","γηραλέον","FALSE"
"520","ἀποβαλὼν","FALSE"
"521","τύπων","FALSE"
"522","εἶδος","FALSE"
"523",",","FALSE"
"524","κόσμον","FALSE"
"525","κυκλεύσας","FALSE"
"526",",","FALSE"
"527","ἐπὶ","TRUE"
"528","τὸ","TRUE"
"529","Αἰγύπτου","FALSE"
"530","πεδίον","FALSE"
"531",",","FALSE"
"532","ἐχθρῶν","FALSE"
"533","ὑποταγὴν","FALSE"
"534","διδοὺς","FALSE"
"535","ἡμῖν","TRUE"
"536",".","FALSE"
"537","Οὕτως","TRUE"
"538","δοθέντος","FALSE"
"539","τοῦ","TRUE"
"540","χρησμοῦ","FALSE"
"541","τούτου","TRUE"
"542","μὴ","TRUE"
"543","νοήσαντες","FALSE"
"544","τὴν","TRUE"
"545","λύσιν","FALSE"
"546","εἰς","TRUE"
"547","τὴν","TRUE"
"548","τοῦ","TRUE"
"549","ἀνδριάντος","FALSE"
"550","τοῦ","TRUE"
"551","Νεκτανεβῶ","FALSE"
"552","βάσιν","FALSE"
"553","γράφουσι","FALSE"
"554","τοὺς","TRUE"
"555","στίχους","FALSE"
"556","εἰς","TRUE"
"557","μνήμην","FALSE"
"558","ποτέ","FALSE"
"559","που","FALSE"
"560","ἐκβησομένου","FALSE"
"561","τοῦ","TRUE"
"562","χρησμοῦ","FALSE"
"563",".","FALSE"
"564","Ἐν","TRUE"
"565","δὲ","TRUE"
"566","τῇ","TRUE"
"567","Μακεδονίᾳ","FALSE"
"568","φανερὸς","FALSE"
"569","γίνεται","FALSE"
"570","πᾶσιν","FALSE"
"571","ὁ","TRUE"
"572","Νεκτανεβὼς","FALSE"
"573","ἄκρως","FALSE"
"574","σκεπτόμενος","FALSE"
"575","ἐπὶ","TRUE"
"576","τοσοῦτον","FALSE"
"577",",","FALSE"
"578","ὡς","TRUE"
"579","καὶ","TRUE"
"580","τὴν","TRUE"
"581","Ὀλυμπιάδα","FALSE"
"582","θελῆσαι","FALSE"
"583","σκέψασθαι","FALSE"
"584","ὑπ","FALSE"
"585","´","FALSE"
"586","αὐτοῦ","TRUE"
"587","καὶ","TRUE"
"588","μετακαλέσασθαι","FALSE"
"589","αὐτὸν","TRUE"
"590","ἀποδήμου","FALSE"
"591","τοῦ","TRUE"
"592","Φιλίππου","FALSE"
"593","πρὸς","TRUE"
"594","πόλεμον","FALSE"
"595","τυγχάνοντος","FALSE"
"596",".","FALSE"
"597","ὃς","TRUE"
"598","παραγενάμενος","FALSE"
"599","εἰς","TRUE"
"600","τὰ","TRUE"
"601","βασίλεια","FALSE"
"602",",","FALSE"
"603","ἰδὼν","FALSE"
"604","αὐτῆς","TRUE"
"605","τὴν","TRUE"
"606","εὐμορφίαν","FALSE"
"607","τῆς","TRUE"
"608","σελήνης","FALSE"
"609","διαφορωτέραν","FALSE"
"610",",","FALSE"
"611","ἄλλως","TRUE"
"612","καταφερὴς","FALSE"
"613","εἰς","TRUE"
"614","τὰς","TRUE"
"615","γυναῖκας","FALSE"
"616","τυχών","FALSE"
"617",",","FALSE"
"618","ἀπὸ","TRUE"
"619","τῆς","TRUE"
"620","ἐρωτικῆς","FALSE"
"621","ἐπιθυμίας","FALSE"
"622","τὸν","TRUE"
"623","νοῦν","FALSE"
"624","ἀκονήσας","FALSE"
"625",",","FALSE"
"626","προτείνας","FALSE"
"627","τὴν","TRUE"
"628","χεῖρα","FALSE"
"629","ἠσπάσατο","FALSE"
"630","καὶ","TRUE"
"631","λέγει","FALSE"
"632","·","FALSE"
"633","Χαίροις","FALSE"
"634","Μακεδόνων","FALSE"
"635","βασίλεια","FALSE"
"636",",","FALSE"
"637","μὴ","TRUE"
"638","καταξιώσας","FALSE"
"639","αὐτὴν","TRUE"
"640","δέσποιναν","FALSE"
"641","εἰπεῖν","FALSE"
"642",",","FALSE"
"643","τὸν","TRUE"
"644","βασιλικὸν","FALSE"
"645","ἔχων","FALSE"
"646","λογισμόν","FALSE"
"647",".","FALSE"
"648","Ὀλυμπιὰς","FALSE"
"649","εἶπεν","FALSE"
"650","·","FALSE"
"651","Χαίροις","FALSE"
"652","ἀγαθώτατε","FALSE"
"653","μαθηματικέ","FALSE"
"654",",","FALSE"
"655","καὶ","TRUE"
"656","παραβὰς","FALSE"
"657","καθέζου","FALSE"
"658",".","FALSE"
"659","Ὡς","TRUE"
"660","δὲ","TRUE"
"661","ἐκάθισεν","FALSE"
"662",",","FALSE"
"663","Ὀλυμπιὰς","FALSE"
"664","εἶπεν","FALSE"
"665","·","FALSE"
"666","Σὺ","TRUE"
"667","τυγχάνεις","FALSE"
"668","Αἰγύπτιος","FALSE"
"669","ἀληθινός","FALSE"
"670",";","FALSE"
"671","Νεκτανεβὼς","FALSE"
"672","εἶπεν","FALSE"
"673","·","FALSE"
"674","Ὡς","TRUE"
"675","οἱ","TRUE"
"676","δοκιμάσαντες","FALSE"
"677","λέγουσιν","FALSE"
"678",".","FALSE"
"679","Ἡ","TRUE"
"680","δὲ","TRUE"
"681","εἶπεν","FALSE"
"682","·","FALSE"
"683","Ποίᾳ","FALSE"
"684","σκέψει","FALSE"
"685","χρώμενος","FALSE"
"686","τὸ","TRUE"
"687","ἀληθὲς","FALSE"
"688","ἀπαγγέλλεις","FALSE"
"689",";","FALSE"
"690","Ὁ","TRUE"
"691","δὲ","TRUE"
"692","εἶπεν","FALSE"
"693","·","FALSE"
"694","Καλῶς","FALSE"
"695","ἀπεφήνω","FALSE"
"696","ὦ","TRUE"
"697","βασίλισσα","FALSE"
"698","·","FALSE"
"699","πολυσχιδὴς","FALSE"
"700","γάρ","TRUE"
"701","ἐστι","TRUE"
"702","τῆς","TRUE"
"703","σκέψεως","FALSE"
"704","ἡ","TRUE"
"705","κρίσις","FALSE"
"706","·","FALSE"
"707","εἰσὶ","TRUE"
"708","γὰρ","TRUE"
"709","ὀνειροκρίται","FALSE"
"710","σημειολύται","FALSE"
"711","ὀρνεοσκόποι","FALSE"
"712","μάντεις","FALSE"
"713","ἀμουμάντεις","FALSE"
"714","γενεθλιαλόγοι","FALSE"
"715","μάγοι","FALSE"
"716","ἀστρολόγοι","FALSE"
"717",".","FALSE"
"718","ἐγὼ","TRUE"
"719","οὖν","TRUE"
"720","πάντων","FALSE"
"721","τούτων","TRUE"
"722","ἐφαπτόμενος","FALSE"
"723",",","FALSE"
"724","κατ","FALSE"
"725","´","FALSE"
"726","ἐξοχὴν","FALSE"
"727","προφήτης","FALSE"
"728","ὢν","TRUE"
"729","Αἰγύπτιος","FALSE"
"730",",","FALSE"
"731","καὶ","TRUE"
"732","μάγος","FALSE"
"733","εἰμὶ","TRUE"
"734","καὶ","TRUE"
"735","ἀστρολόγος","FALSE"
"736",".","FALSE"
"737","Καὶ","TRUE"
"738","ταῦτα","TRUE"
"739","λέγων","FALSE"
"740","δριμύτατον","FALSE"
"741","αὐτῇ","TRUE"
"742","ἔβλεψεν","FALSE"
"743",",","FALSE"
"744","ἥτις","TRUE"
"745","σημειωσαμένη","FALSE"
"746","τὸ","TRUE"
"747","βλέμμα","FALSE"
"748","εἶπε","FALSE"
"749","·","FALSE"
"750","Τί","TRUE"
"751","λογιζόμενος","FALSE"
"752",",","FALSE"
"753","προφῆτα","FALSE"
"754","κατ","FALSE"
"755","´","FALSE"
"756","ἐξοχήν","FALSE"
"757",",","FALSE"
"758","περιέργως","FALSE"
"759","οὕτως","TRUE"
"760","μοι","TRUE"
"761","ἀπέβλεψας","FALSE"
"762",";","FALSE"
"763","Νεκτανεβὼς","FALSE"
"764","εἶπεν","FALSE"
"765","·","FALSE"
"766","Ὑπομνησθεὶς","FALSE"
"767","χρησμοῦ","FALSE"
"768","βασίλισσα","FALSE"
"769","·","FALSE"
"770","ἤκουσα","FALSE"
"771","γὰρ","TRUE"
"772","ὑπὸ","TRUE"
"773","τῶν","TRUE"
"774","ἰδίων","FALSE"
"775","θεῶν","FALSE"
"776","ποτε","FALSE"
"777",",","FALSE"
"778","ὅτι","TRUE"
"779","βασιλίδι","FALSE"
"780","σε","TRUE"
"781","δεῖ","FALSE"
"782","σκέψασθαι","FALSE"
"783","καὶ","TRUE"
"784","ἅπερ","TRUE"
"785","λέγεις","FALSE"
"786","ἀληθῆ","FALSE"
"787","εὑρεθῆναι","FALSE"
"788",".","FALSE"
"789","Ἅμα","FALSE"
"790","δὲ","TRUE"
"791","τῷ","TRUE"
"792","ταῦτα","TRUE"
"793","εἰπεῖν","FALSE"
"794","προενεγκάμενος","FALSE"
