"ID","TOKEN","IS_PUNCT"
"349","γενέσθαι","FALSE"
"350",".","TRUE"
"351","μονάσας","FALSE"
"352","δὲ","FALSE"
"353","καὶ","FALSE"
"354","τὴν","FALSE"
"355","λεκάνην","FALSE"
"356","θεὶς","FALSE"
"357","εἰς","FALSE"
"358","μέσον","FALSE"
"359","ἔπλησεν","FALSE"
"360","ὕδατος","FALSE"
"361","·","TRUE"
"362","βαλὼν","FALSE"
"363","δὲ","FALSE"
"364","ἐπάνω","FALSE"
"365","τὰ","FALSE"
"366","κήρινα","FALSE"
"367","πλοιαρίδια","FALSE"
"368",",","TRUE"
"369","ἀράμενος","FALSE"
"370","κατὰ","FALSE"
"371","χεῖρα","FALSE"
"372","τὴν","FALSE"
"373","ῥάβδον","FALSE"
"374","τῷ","FALSE"
"375","δυναμικῷ","FALSE"
"376","λόγῳ","FALSE"
"377","ἐχρήσατο","FALSE"
"378",".","TRUE"
"379","ἀτενίσας","FALSE"
"380","δὲ","FALSE"
"381","εἰς","FALSE"
"382","τὴν","FALSE"
"383","λεκάνην","FALSE"
"384","εἶδε","FALSE"
"385","τοὺς","FALSE"
"386","τῶν","FALSE"
"387","Αἰγυπτίων","FALSE"
"388","θεοὺς","FALSE"
"389","τὰ","FALSE"
"390","τῶν","FALSE"
"391","πολεμίων","FALSE"
"392","βαρβάρων","FALSE"
"393","πλοιάρια","FALSE"
"394","διακυβερνῶντας","FALSE"
"395",".","TRUE"
"396","διὸ","FALSE"
"397","καὶ","FALSE"
"398","στοχάσας","FALSE"
"399","τὸν","FALSE"
"400","τῶν","FALSE"
"401","Αἰγυπτίων","FALSE"
"402","βασιλέα","FALSE"
"403","ὑπὸ","FALSE"
"404","τῶν","FALSE"
"405","μακάρων","FALSE"
"406","ἤδη","FALSE"
"407","προδοσίαν","FALSE"
"408","ἐσχηκέναι","FALSE"
"409","ξυρησάμενος","FALSE"
"410","τὴν","FALSE"
"411","κεφαλὴν","FALSE"
"412","καὶ","FALSE"
"413","τὸν","FALSE"
"414","πώγωνα","FALSE"
"415","πρὸς","FALSE"
"416","τὸ","FALSE"
"417","ἀλλομορφῆσαι","FALSE"
"418",",","TRUE"
"419","ἐγκολπωσάμενος","FALSE"
"420","χρυσὸν","FALSE"
"421","ὅσον","FALSE"
"422","ἠδύνατο","FALSE"
"423","βαστάξαι","FALSE"
"424",",","TRUE"
"425","ἔφυγε","FALSE"
"426","τὴν","FALSE"
"427","Αἴγυπτον","FALSE"
"428","διὰ","FALSE"
"429","τοῦ","FALSE"
"430","Πηλουσίου","FALSE"
"431",".","TRUE"
"432","πολλὰ","FALSE"
"433","δὲ","FALSE"
"434","περινοστήσας","FALSE"
"435","ἔθνη","FALSE"
"436","εἰς","FALSE"
"437","Πέλλην","FALSE"
"438","τῆς","FALSE"
"439","Μακεδονίας","FALSE"
"440","παρεγένετο","FALSE"
"441",",","TRUE"
"442","καὶ","FALSE"
"443","ὀθόνην","FALSE"
"444","ἀμφιασάμενος","FALSE"
"445","οἷα","FALSE"
"446","προφήτης","FALSE"
"447","Αἰγύπτιος","FALSE"
"448","καὶ","FALSE"
"449","ἀστρολόγος","FALSE"
"450","καὶ","FALSE"
"451","ἐκαθέζετο","FALSE"
"452","δημοσίᾳ","FALSE"
"453","τῷ","FALSE"
"454","προσερχομένῳ","FALSE"
"455","σκέπτεσθαι","FALSE"
"456",".","TRUE"
"457","καὶ","FALSE"
"458","ταῦτα","FALSE"
"459","μὲν","FALSE"
"460","οὕτως","FALSE"
"461",".","TRUE"
"462","Ἐν","FALSE"
"463","δὲ","FALSE"
"464","τῇ","FALSE"
"465","Αἰγύπτῳ","FALSE"
"466","ἀφανοῦς","FALSE"
"467","γενομένου","FALSE"
"468","τοῦ","FALSE"
"469","Νεκτανεβῶ","FALSE"
"470","ἠξίωσαν","FALSE"
"471","οἱ","FALSE"
"472","Αἰγύπτιοι","FALSE"
"473","τὸν","FALSE"
"474","προπάτορα","FALSE"
"475","τῶν","FALSE"
"476","θεῶν","FALSE"
"477","Ἥφαιστον","FALSE"
"478",",","TRUE"
"479","τί","FALSE"
"480","ἄρα","FALSE"
"481","ὁ","FALSE"
"482","τῆς","FALSE"
"483","Αἰγύπτου","FALSE"
"484","βασιλεὺς","FALSE"
"485","ἐγένετο","FALSE"
"486",".","TRUE"
"487","ὁ","FALSE"
"488","δὲ","FALSE"
"489","ἔπεμψεν","FALSE"
"490","αὐτοῖς","FALSE"
"491","χρησμόν","FALSE"
"492",",","TRUE"
"493","πρὸς","FALSE"
"494","τὸν","FALSE"
"495","ἀόρατον","FALSE"
"496","τοῦ","FALSE"
"497","Σινωπίου","FALSE"
"498","παραστῆναι","FALSE"
"499",",","TRUE"
"500","ὃς","FALSE"
"501","χρησμοδοτεῖ","FALSE"
"502","αὐτοῖς","FALSE"
"503","οὕτως","FALSE"
"504","·","TRUE"
"505","Αἴγυπτον","FALSE"
"506","ὁ","FALSE"
"507","φυγὼν","FALSE"
"508","κραταιὸς","FALSE"
"509","ἄλκιμος","FALSE"
"510","πρέσβυς","FALSE"
"511","βασιλεὺς","FALSE"
"512","δυνάστης","FALSE"
"513","ἥξει","FALSE"
"514","μετὰ","FALSE"
"515","χρόνον","FALSE"
"516","νέος","FALSE"
"517",",","TRUE"
"518","τὸ","FALSE"
"519","γηραλέον","FALSE"
"520","ἀποβαλὼν","FALSE"
"521","τύπων","FALSE"
"522","εἶδος","FALSE"
"523",",","TRUE"
"524","κόσμον","FALSE"
"525","κυκλεύσας","FALSE"
"526",",","TRUE"
"527","ἐπὶ","FALSE"
"528","τὸ","FALSE"
"529","Αἰγύπτου","FALSE"
"530","πεδίον","FALSE"
"531",",","TRUE"
"532","ἐχθρῶν","FALSE"
"533","ὑποταγὴν","FALSE"
"534","διδοὺς","FALSE"
"535","ἡμῖν","FALSE"
"536",".","TRUE"
"537","Οὕτως","FALSE"
"538","δοθέντος","FALSE"
"539","τοῦ","FALSE"
"540","χρησμοῦ","FALSE"
"541","τούτου","FALSE"
"542","μὴ","FALSE"
"543","νοήσαντες","FALSE"
"544","τὴν","FALSE"
"545","λύσιν","FALSE"
"546","εἰς","FALSE"
"547","τὴν","FALSE"
"548","τοῦ","FALSE"
"549","ἀνδριάντος","FALSE"
"550","τοῦ","FALSE"
"551","Νεκτανεβῶ","FALSE"
"552","βάσιν","FALSE"
"553","γράφουσι","FALSE"
"554","τοὺς","FALSE"
"555","στίχους","FALSE"
"556","εἰς","FALSE"
"557","μνήμην","FALSE"
"558","ποτέ","FALSE"
"559","που","FALSE"
"560","ἐκβησομένου","FALSE"
"561","τοῦ","FALSE"
"562","χρησμοῦ","FALSE"
"563",".","TRUE"
"564","Ἐν","FALSE"
"565","δὲ","FALSE"
"566","τῇ","FALSE"
"567","Μακεδονίᾳ","FALSE"
"568","φανερὸς","FALSE"
"569","γίνεται","FALSE"
"570","πᾶσιν","FALSE"
"571","ὁ","FALSE"
"572","Νεκτανεβὼς","FALSE"
"573","ἄκρως","FALSE"
"574","σκεπτόμενος","FALSE"
"575","ἐπὶ","FALSE"
"576","τοσοῦτον","FALSE"
"577",",","TRUE"
"578","ὡς","FALSE"
"579","καὶ","FALSE"
"580","τὴν","FALSE"
"581","Ὀλυμπιάδα","FALSE"
"582","θελῆσαι","FALSE"
"583","σκέψασθαι","FALSE"
"584","ὑπ","FALSE"
"585","´","FALSE"
"586","αὐτοῦ","FALSE"
"587","καὶ","FALSE"
"588","μετακαλέσασθαι","FALSE"
"589","αὐτὸν","FALSE"
"590","ἀποδήμου","FALSE"
"591","τοῦ","FALSE"
"592","Φιλίππου","FALSE"
"593","πρὸς","FALSE"
"594","πόλεμον","FALSE"
"595","τυγχάνοντος","FALSE"
"596",".","TRUE"
"597","ὃς","FALSE"
"598","παραγενάμενος","FALSE"
"599","εἰς","FALSE"
"600","τὰ","FALSE"
"601","βασίλεια","FALSE"
"602",",","TRUE"
"603","ἰδὼν","FALSE"
"604","αὐτῆς","FALSE"
"605","τὴν","FALSE"
"606","εὐμορφίαν","FALSE"
"607","τῆς","FALSE"
"608","σελήνης","FALSE"
"609","διαφορωτέραν","FALSE"
"610",",","TRUE"
"611","ἄλλως","FALSE"
"612","καταφερὴς","FALSE"
"613","εἰς","FALSE"
"614","τὰς","FALSE"
"615","γυναῖκας","FALSE"
"616","τυχών","FALSE"
"617",",","TRUE"
"618","ἀπὸ","FALSE"
"619","τῆς","FALSE"
"620","ἐρωτικῆς","FALSE"
"621","ἐπιθυμίας","FALSE"
"622","τὸν","FALSE"
"623","νοῦν","FALSE"
"624","ἀκονήσας","FALSE"
"625",",","TRUE"
"626","προτείνας","FALSE"
"627","τὴν","FALSE"
"628","χεῖρα","FALSE"
"629","ἠσπάσατο","FALSE"
"630","καὶ","FALSE"
"631","λέγει","FALSE"
"632","·","TRUE"
"633","Χαίροις","FALSE"
"634","Μακεδόνων","FALSE"
"635","βασίλεια","FALSE"
"636",",","TRUE"
"637","μὴ","FALSE"
"638","καταξιώσας","FALSE"
"639","αὐτὴν","FALSE"
"640","δέσποιναν","FALSE"
"641","εἰπεῖν","FALSE"
"642",",","TRUE"
"643","τὸν","FALSE"
"644","βασιλικὸν","FALSE"
"645","ἔχων","FALSE"
"646","λογισμόν","FALSE"
"647",".","TRUE"
"648","Ὀλυμπιὰς","FALSE"
"649","εἶπεν","FALSE"
"650","·","TRUE"
"651","Χαίροις","FALSE"
"652","ἀγαθώτατε","FALSE"
"653","μαθηματικέ","FALSE"
"654",",","TRUE"
"655","καὶ","FALSE"
"656","παραβὰς","FALSE"
"657","καθέζου","FALSE"
"658",".","TRUE"
