"ID","TOKEN","IS_STOP"
"381","κλαίουσα","FALSE"
"382",".","FALSE"
"383","τοὔναρ","FALSE"
"384","δʼ","FALSE"
"385","ὧδε","FALSE"
"386","συμβάλλω","FALSE"
"387","τόδε","TRUE"
"388","·","FALSE"
"389","τέθνηκʼ","FALSE"
"390","Ὀρέστης","FALSE"
"391",",","FALSE"
"392","οὗ","TRUE"
"393","κατηρξάμην","FALSE"
"394","ἐγώ","TRUE"
"395",".","FALSE"
"396","στῦλοι","FALSE"
"397","γὰρ","TRUE"
"398","οἴκων","FALSE"
"399","παῖδές","FALSE"
"400","εἰσιν","TRUE"
"401","ἄρσενες","FALSE"
"402","·","FALSE"
"403","θνῄσκουσι","FALSE"
"404","δʼ","FALSE"
"405","οὓς","TRUE"
"406","ἂν","TRUE"
"407","χέρνιβες","FALSE"
"408","βάλωσʼ","FALSE"
"409","ἐμαί","FALSE"
"410",".","FALSE"
"411","οὐδʼ","FALSE"
"412","αὖ","FALSE"
"413","συνάψαι","FALSE"
"414","τοὔναρ","FALSE"
"415","ἐς","TRUE"
"416","φίλους","FALSE"
"417","ἔχω","FALSE"
"418","·","FALSE"
"419","Στροφίῳ","FALSE"
"420","γὰρ","TRUE"
"421","οὐκ","TRUE"
"422","ἦν","TRUE"
"423","παῖς","FALSE"
"424",",","FALSE"
"425","ὅτʼ","FALSE"
"426","ὠλλύμην","FALSE"
"427","ἐγώ","TRUE"
"428",".","FALSE"
"429","νῦν","FALSE"
"430","οὖν","TRUE"
"431","ἀδελφῷ","FALSE"
"432","βούλομαι","FALSE"
"433","δοῦναι","FALSE"
"434","χοὰς","FALSE"
"435","παροῦσʼ","FALSE"
"436","ἀπόντι","FALSE"
"437","—","FALSE"
"438","ταῦτα","TRUE"
"439","γὰρ","TRUE"
"440","δυναίμεθʼ","FALSE"
"441","ἄν","TRUE"
"442","—","FALSE"
"443","σὺν","TRUE"
"444","προσπόλοισιν","FALSE"
"445",",","FALSE"
"446","ἃς","TRUE"
"447","ἔδωχʼ","FALSE"
"448","ἡμῖν","TRUE"
"449","ἄναξ","FALSE"
"450","Ἑλληνίδας","FALSE"
"451","γυναῖκας","FALSE"
"452",".","FALSE"
"453","ἀλλʼ","FALSE"
"454","ἐξ","TRUE"
"455","αἰτίας","FALSE"
"456","οὔπω","FALSE"
"457","τίνος","TRUE"
"458","πάρεισιν","FALSE"
"459",";","FALSE"
"460","εἶμʼ","FALSE"
"461","ἔσω","FALSE"
"462","δόμων","FALSE"
"463","ἐν","TRUE"
"464","οἷσι","TRUE"
"465","ναίω","FALSE"
"466","τῶνδʼ","FALSE"
"467","ἀνακτόρων","FALSE"
"468","θεᾶς","FALSE"
"469",".","FALSE"
"470","Ὀρέστης","FALSE"
"471","ὅρα","FALSE"
"472",",","FALSE"
"473","φυλάσσου","FALSE"
"474","μή","TRUE"
"475","τις","TRUE"
"476","ἐν","TRUE"
"477","στίβῳ","FALSE"
"478","βροτῶν","FALSE"
"479",".","FALSE"
"480","Πυλάδης","FALSE"
"481","ὁρῶ","FALSE"
"482",",","FALSE"
"483","σκοποῦμαι","FALSE"
"484","δʼ","FALSE"
"485","ὄμμα","FALSE"
"486","πανταχῆ","FALSE"
"487","στρέφων","FALSE"
"488",".","FALSE"
"489","Ὀρέστης","FALSE"
"490","Πυλάδη","FALSE"
"491",",","FALSE"
"492","δοκεῖ","FALSE"
"493","σοι","TRUE"
"494","μέλαθρα","FALSE"
"495","ταῦτʼ","FALSE"
"496","εἶναι","TRUE"
"497","θεᾶς","FALSE"
"498","ἔνθʼ","FALSE"
"499","Ἀργόθεν","FALSE"
"500","ναῦν","FALSE"
"501","ποντίαν","FALSE"
"502","ἐστείλαμεν","FALSE"
"503",";","FALSE"
"504","Πυλάδης","FALSE"
"505","ἔμοιγʼ","FALSE"
"506",",","FALSE"
"507","Ὀρέστα","FALSE"
"508","·","FALSE"
"509","σοὶ","TRUE"
"510","δὲ","TRUE"
"511","συνδοκεῖν","FALSE"
"512","χρεών","FALSE"
"513",".","FALSE"
"514","Ὀρέστης","FALSE"
"515","καὶ","TRUE"
"516","βωμός","FALSE"
"517",",","FALSE"
"518","Ἕλλην","FALSE"
"519","οὗ","TRUE"
"520","καταστάζει","FALSE"
"521","φόνος","FALSE"
"522",";","FALSE"
"523","Πυλάδης","FALSE"
"524","ἐξ","TRUE"
"525","αἱμάτων","FALSE"
"526","γοῦν","FALSE"
"527","ξάνθʼ","FALSE"
"528","ἔχει","FALSE"
"529","τριχώματα","FALSE"
"530",".","FALSE"
"531","Ὀρέστης","FALSE"
