"ID","TOKEN","IS_PUNCT"
"376","Ἀλλὰ","FALSE"
"377","μὴν","FALSE"
"378","μεθῆκα","FALSE"
"379","θεῖν","FALSE"
"380","λαγὼ","FALSE"
"381","ταχέως","FALSE"
"382",".","TRUE"
"383","ἆρα","FALSE"
"384","παρῇξεν","FALSE"
"385",";","TRUE"
"386","ἀλλὰ","FALSE"
"387","καὶ","FALSE"
"388","νῦν","FALSE"
"389","ἔξεστιν","FALSE"
"390","ἰδεῖν","FALSE"
"391","τὸν","FALSE"
"392","λαγώ","FALSE"
"393","·","TRUE"
"394","εἰ","FALSE"
"395","δὲ","FALSE"
"396","μή","FALSE"
"397",",","TRUE"
"398","πολλοὶ","FALSE"
"399","γενόμενοι","FALSE"
"400","λαγῲ","FALSE"
"401","λήσουσί","FALSE"
"402","σε","FALSE"
"403","ἐν","FALSE"
"404","σολοικισμῷ","FALSE"
"405","πεσόντες","FALSE"
"406",".","TRUE"
"407","σολοικιστής","FALSE"
"408","Οὐ","FALSE"
"409","λήσουσι","FALSE"
"410",".","TRUE"
"411","Λυκῖνος","FALSE"
"412","Καὶ","FALSE"
"413","μὴν","FALSE"
"414","ἔλαθόν","FALSE"
"415","γε","FALSE"
"416",".","TRUE"
"417","σολοικιστής","FALSE"
"418","Θαυμαστὰ","FALSE"
"419","λέγεις","FALSE"
"420",".","TRUE"
"421","Λυκῖνος","FALSE"
"422","Σὺ","FALSE"
"423","δὲ","FALSE"
"424","ὑπὸ","FALSE"
"425","τῆς","FALSE"
"426","ἄγαν","FALSE"
"427","παιδείας","FALSE"
"428","διέφθορας","FALSE"
"429",",","TRUE"
"430","ὥστε","FALSE"
"431","μηδ","FALSE"
"432","αὐτὸ","FALSE"
"433","τοῦτο","FALSE"
"434","σολοικίζοντας","FALSE"
"435","κατανοῆσαι","FALSE"
"436","·","TRUE"
"437","οὐ","FALSE"
"438","γὰρ","FALSE"
"439","πρός","FALSE"
"440","εστιν","FALSE"
"441","αὐτῷ","FALSE"
"442","τὸ","FALSE"
"443","τίνα","FALSE"
"444",".","TRUE"
"445","σολοικιστής","FALSE"
